# Time_Step Node_0 Node_1 Node_2 Node_3 Node_4 Node_5 Node_6 Node_7 Node_8 Node_9 Node_10 Node_11 Node_12 Node_13 Node_14 Node_15 Node_16 Node_17 Node_18 Node_19 Node_20 Node_21 Node_22 Node_23 Node_24 Node_25 Node_26 Node_27 Node_28 Node_29 Node_30 Node_31 Node_32 Node_33 Node_34 Node_35 Node_36 Node_37 Node_38 Node_39 Node_40 Node_41 Node_42 Node_43 Node_44 Node_45 Node_46 Node_47 Node_48 Node_49 Node_50 Node_51 Node_52 Node_53 Node_54 Node_55 Node_56 Node_57 Node_58 Node_59 Node_60 Node_61 Node_62 Node_63 Node_64 Node_65 Node_66 Node_67 Node_68 Node_69 Node_70 Node_71 Node_72 Node_73 Node_74 Node_75 Node_76 Node_77 Node_78 Node_79 Node_80 Node_81 Node_82 Node_83 Node_84 Node_85 Node_86 Node_87 Node_88 Node_89 Node_90 Node_91 Node_92 Node_93 Node_94 Node_95 Node_96 Node_97 Node_98 Node_99
0 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
1 5.000000e-04 5.000000e-04 5.000000e-04 5.000000e-04 5.000000e-04 5.000000e-04 5.000000e-04 5.000000e-04 5.000000e-04 5.000000e-04 5.000000e-04 5.000000e-04 5.000000e-04 5.000000e-04 5.000000e-04 5.000000e-04 5.000000e-04 5.000000e-04 5.000000e-04 5.000000e-04 5.000000e-04 5.000000e-04 5.000000e-04 5.000000e-04 5.000000e-04 5.000000e-04 5.000000e-04 5.000000e-04 5.000000e-04 5.000000e-04 5.000000e-04 5.000000e-04 5.000000e-04 5.000000e-04 5.000000e-04 5.000000e-04 5.000000e-04 5.000000e-04 5.000000e-04 5.000000e-04 5.000000e-04 5.000000e-04 5.000000e-04 5.000000e-04 5.000000e-04 5.000000e-04 5.000000e-04 5.000000e-04 5.000000e-04 6.050000e-02 8.804000e-01 6.050000e-02 5.000000e-04 5.000000e-04 5.000000e-04 5.000000e-04 5.000000e-04 5.000000e-04 5.000000e-04 5.000000e-04 5.000000e-04 5.000000e-04 5.000000e-04 5.000000e-04 5.000000e-04 5.000000e-04 5.000000e-04 5.000000e-04 5.000000e-04 5.000000e-04 5.000000e-04 5.000000e-04 5.000000e-04 5.000000e-04 5.000000e-04 5.000000e-04 5.000000e-04 5.000000e-04 5.000000e-04 5.000000e-04 5.000000e-04 5.000000e-04 5.000000e-04 5.000000e-04 5.000000e-04 5.000000e-04 5.000000e-04 5.000000e-04 5.000000e-04 5.000000e-04 5.000000e-04 5.000000e-04 5.000000e-04 5.000000e-04 5.000000e-04 5.000000e-04 5.000000e-04 5.000000e-04 5.000000e-04 5.000000e-04
2 9.999500e-04 9.999500e-04 9.999500e-04 9.999500e-04 9.999500e-04 9.999500e-04 9.999500e-04 9.999500e-04 9.999500e-04 9.999500e-04 9.999500e-04 9.999500e-04 9.999500e-04 9.999500e-04 9.999500e-04 9.999500e-04 9.999500e-04 9.999500e-04 9.999500e-04 9.999500e-04 9.999500e-04 9.999500e-04 9.999500e-04 9.999500e-04 9.999500e-04 9.999500e-04 9.999500e-04 9.999500e-04 9.999500e-04 9.999500e-04 9.999500e-04 9.999500e-04 9.999500e-04 9.999500e-04 9.999500e-04 9.999500e-04 9.999500e-04 9.999500e-04 9.999500e-04 9.999500e-04 9.999500e-04 9.999500e-04 9.999500e-04 9.999500e-04 9.999500e-04 9.999500e-04 9.999500e-04 9.999500e-04 4.599950e-03 1.065879e-01 7.824240e-01 1.065879e-01 4.599950e-03 9.999500e-04 9.999500e-04 9.999500e-04 9.999500e-04 9.999500e-04 9.999500e-04 9.999500e-04 9.999500e-04 9.999500e-04 9.999500e-04 9.999500e-04 9.999500e-04 9.999500e-04 9.999500e-04 9.999500e-04 9.999500e-04 9.999500e-04 9.999500e-04 9.999500e-04 9.999500e-04 9.999500e-04 9.999500e-04 9.999500e-04 9.999500e-04 9.999500e-04 9.999500e-04 9.999500e-04 9.999500e-04 9.999500e-04 9.999500e-04 9.999500e-04 9.999500e-04 9.999500e-04 9.999500e-04 9.999500e-04 9.999500e-04 9.999500e-04 9.999500e-04 9.999500e-04 9.999500e-04 9.999500e-04 9.999500e-04 9.999500e-04 9.999500e-04 9.999500e-04 9.999500e-04 9.999500e-04
3 1.499850e-03 1.499850e-03 1.499850e-03 1.499850e-03 1.499850e-03 1.499850e-03 1.499850e-03 1.499850e-03 1.499850e-03 1.499850e-03 1.499850e-03 1.499850e-03 1.499850e-03 1.499850e-03 1.499850e-03 1.499850e-03 1.499850e-03 1.499850e-03 1.499850e-03 1.499850e-03 1.499850e-03 1.499850e-03 1.499850e-03 1.499850e-03 1.499850e-03 1.499850e-03 1.499850e-03 1.499850e-03 1.499850e-03 1.499850e-03 1.499850e-03 1.499850e-03 1.499850e-03 1.499850e-03 1.499850e-03 1.499850e-03 1.499850e-03 1.499850e-03 1.499850e-03 1.499850e-03 1.499850e-03 1.499850e-03 1.499850e-03 1.499850e-03 1.499850e-03 1.499850e-03 1.499850e-03 1.715850e-03 1.100277e-02 1.415082e-01 7.017454e-01 1.415082e-01 1.100277e-02 1.715850e-03 1.499850e-03 1.499850e-03 1.499850e-03 1.499850e-03 1.499850e-03 1.499850e-03 1.499850e-03 1.499850e-03 1.499850e-03 1.499850e-03 1.499850e-03 1.499850e-03 1.499850e-03 1.499850e-03 1.499850e-03 1.499850e-03 1.499850e-03 1.499850e-03 1.499850e-03 1.499850e-03 1.499850e-03 1.499850e-03 1.499850e-03 1.499850e-03 1.499850e-03 1.499850e-03 1.499850e-03 1.499850e-03 1.499850e-03 1.499850e-03 1.499850e-03 1.499850e-03 1.499850e-03 1.499850e-03 1.499850e-03 1.499850e-03 1.499850e-03 1.499850e-03 1.499850e-03 1.499850e-03 1.499850e-03 1.499850e-03 1.499850e-03 1.499850e-03 1.499850e-03 1.499850e-03
4 1.999700e-03 1.999700e-03 1.999700e-03 1.999700e-03 1.999700e-03 1.999700e-03 1.999700e-03 1.999700e-03 1.999700e-03 1.999700e-03 1.999700e-03 1.999700e-03 1.999700e-03 1.999700e-03 1.999700e-03 1.999700e-03 1.999700e-03 1.999700e-03 1.999700e-03 1.999700e-03 1.999700e-03 1.999700e-03 1.999700e-03 1.999700e-03 1.999700e-03 1.999700e-03 1.999700e-03 1.999700e-03 1.999700e-03 1.999700e-03 1.999700e-03 1.999700e-03 1.999700e-03 1.999700e-03 1.999700e-03 1.999700e-03 1.999700e-03 1.999700e-03 1.999700e-03 1.999700e-03 1.999700e-03 1.999700e-03 1.999700e-03 1.999700e-03 1.999700e-03 1.999700e-03 2.012660e-03 2.759934e-03 1.877478e-02 1.677779e-01 6.349468e-01 1.677779e-01 1.877478e-02 2.759934e-03 2.012660e-03 1.999700e-03 1.999700e-03 1.999700e-03 1.999700e-03 1.999700e-03 1.999700e-03 1.999700e-03 1.999700e-03 1.999700e-03 1.999700e-03 1.999700e-03 1.999700e-03 1.999700e-03 1.999700e-03 1.999700e-03 1.999700e-03 1.999700e-03 1.999700e-03 1.999700e-03 1.999700e-03 1.999700e-03 1.999700e-03 1.999700e-03 1.999700e-03 1.999700e-03 1.999700e-03 1.999700e-03 1.999700e-03 1.999700e-03 1.999700e-03 1.999700e-03 1.999700e-03 1.999700e-03 1.999700e-03 1.999700e-03 1.999700e-03 1.999700e-03 1.999700e-03 1.999700e-03 1.999700e-03 1.999700e-03 1.999700e-03 1.999700e-03 1.999700e-03 1.999700e-03
5 2.499500e-03 2.499500e-03 2.499500e-03 2.499500e-03 2.499500e-03 2.499500e-03 2.499500e-03 2.499500e-03 2.499500e-03 2.499500e-03 2.499500e-03 2.499500e-03 2.499500e-03 2.499500e-03 2.499500e-03 2.499500e-03 2.499500e-03 2.499500e-03 2.499500e-03 2.499500e-03 2.499500e-03 2.499500e-03 2.499500e-03 2.499500e-03 2.499500e-03 2.499500e-03 2.499500e-03 2.499500e-03 2.499500e-03 2.499500e-03 2.499500e-03 2.499500e-03 2.499500e-03 2.499500e-03 2.499500e-03 2.499500e-03 2.499500e-03 2.499500e-03 2.499500e-03 2.499500e-03 2.499500e-03 2.499500e-03 2.499500e-03 2.499500e-03 2.499500e-03 2.500278e-03 2.556518e-03 4.175712e-03 2.725220e-02 1.873511e-01 5.793230e-01 1.873511e-01 2.725220e-02 4.175712e-03 2.556518e-03 2.500278e-03 2.499500e-03 2.499500e-03 2.499500e-03 2.499500e-03 2.499500e-03 2.499500e-03 2.499500e-03 2.499500e-03 2.499500e-03 2.499500e-03 2.499500e-03 2.499500e-03 2.499500e-03 2.499500e-03 2.499500e-03 2.499500e-03 2.499500e-03 2.499500e-03 2.499500e-03 2.499500e-03 2.499500e-03 2.499500e-03 2.499500e-03 2.499500e-03 2.499500e-03 2.499500e-03 2.499500e-03 2.499500e-03 2.499500e-03 2.499500e-03 2.499500e-03 2.499500e-03 2.499500e-03 2.499500e-03 2.499500e-03 2.499500e-03 2.499500e-03 2.499500e-03 2.499500e-03 2.499500e-03 2.499500e-03 2.499500e-03 2.499500e-03 2.499500e-03
6 2.999250e-03 2.999250e-03 2.999250e-03 2.999250e-03 2.999250e-03 2.999250e-03 2.999250e-03 2.999250e-03 2.999250e-03 2.999250e-03 2.999250e-03 2.999250e-03 2.999250e-03 2.999250e-03 2.999250e-03 2.999250e-03 2.999250e-03 2.999250e-03 2.999250e-03 2.999250e-03 2.999250e-03 2.999250e-03 2.999250e-03 2.999250e-03 2.999250e-03 2.999250e-03 2.999250e-03 2.999250e-03 2.999250e-03 2.999250e-03 2.999250e-03 2.999250e-03 2.999250e-03 2.999250e-03 2.999250e-03 2.999250e-03 2.999250e-03 2.999250e-03 2.999250e-03 2.999250e-03 2.999250e-03 2.999250e-03 2.999250e-03 2.999250e-03 2.999297e-03 3.003355e-03 3.150039e-03 5.962732e-03 3.597082e-02 2.017447e-01 5.327284e-01 2.017447e-01 3.597082e-02 5.962732e-03 3.150039e-03 3.003355e-03 2.999297e-03 2.999250e-03 2.999250e-03 2.999250e-03 2.999250e-03 2.999250e-03 2.999250e-03 2.999250e-03 2.999250e-03 2.999250e-03 2.999250e-03 2.999250e-03 2.999250e-03 2.999250e-03 2.999250e-03 2.999250e-03 2.999250e-03 2.999250e-03 2.999250e-03 2.999250e-03 2.999250e-03 2.999250e-03 2.999250e-03 2.999250e-03 2.999250e-03 2.999250e-03 2.999250e-03 2.999250e-03 2.999250e-03 2.999250e-03 2.999250e-03 2.999250e-03 2.999250e-03 2.999250e-03 2.999250e-03 2.999250e-03 2.999250e-03 2.999250e-03 2.999250e-03 2.999250e-03 2.999250e-03 2.999250e-03 2.999250e-03 2.999250e-03
7 3.498950e-03 3.498950e-03 3.498950e-03 3.498950e-03 3.498950e-03 3.498950e-03 3.498950e-03 3.498950e-03 3.498950e-03 3.498950e-03 3.498950e-03 3.498950e-03 3.498950e-03 3.498950e-03 3.498950e-03 3.498950e-03 3.498950e-03 3.498950e-03 3.498950e-03 3.498950e-03 3.498950e-03 3.498950e-03 3.498950e-03 3.498950e-03 3.498950e-03 3.498950e-03 3.498950e-03 3.498950e-03 3.498950e-03 3.498950e-03 3.498950e-03 3.498950e-03 3.498950e-03 3.498950e-03 3.498950e-03 3.498950e-03 3.498950e-03 3.498950e-03 3.498950e-03 3.498950e-03 3.498950e-03 3.498950e-03 3.498950e-03 3.498953e-03 3.499238e-03 3.511613e-03 3.809685e-03 8.093859e-03 4.461317e-02 2.121372e-01 4.934571e-01 2.121372e-01 4.461317e-02 8.093859e-03 3.809685e-03 3.511613e-03 3.499238e-03 3.498953e-03 3.498950e-03 3.498950e-03 3.498950e-03 3.498950e-03 3.498950e-03 3.498950e-03 3.498950e-03 3.498950e-03 3.498950e-03 3.498950e-03 3.498950e-03 3.498950e-03 3.498950e-03 3.498950e-03 3.498950e-03 3.498950e-03 3.498950e-03 3.498950e-03 3.498950e-03 3.498950e-03 3.498950e-03 3.498950e-03 3.498950e-03 3.498950e-03 3.498950e-03 3.498950e-03 3.498950e-03 3.498950e-03 3.498950e-03 3.498950e-03 3.498950e-03 3.498950e-03 3.498950e-03 3.498950e-03 3.498950e-03 3.498950e-03 3.498950e-03 3.498950e-03 3.498950e-03 3.498950e-03 3.498950e-03 3.498950e-03
8 3.998600e-03 3.998600e-03 3.998600e-03 3.998600e-03 3.998600e-03 3.998600e-03 3.998600e-03 3.998600e-03 3.998600e-03 3.998600e-03 3.998600e-03 3.998600e-03 3.998600e-03 3.998600e-03 3.998600e-03 3.998600e-03 3.998600e-03 3.998600e-03 3.998600e-03 3.998600e-03 3.998600e-03 3.998600e-03 3.998600e-03 3.998600e-03 3.998600e-03 3.998600e-03 3.998600e-03 3.998600e-03 3.998600e-03 3.998600e-03 3.998600e-03 3.998600e-03 3.998600e-03 3.998600e-03 3.998600e-03 3.998600e-03 3.998600e-03 3.998600e-03 3.998600e-03 3.998600e-03 3.998600e-03 3.998600e-03 3.998600e-03 3.998620e-03 3.999613e-03 4.028403e-03 4.548470e-03 1.052716e-02 5.296899e-02 2.194437e-01 4.601494e-01 2.194437e-01 5.296899e-02 1.052716e-02 4.548470e-03 4.028403e-03 3.999613e-03 3.998620e-03 3.998600e-03 3.998600e-03 3.998600e-03 3.998600e-03 3.998600e-03 3.998600e-03 3.998600e-03 3.998600e-03 3.998600e-03 3.998600e-03 3.998600e-03 3.998600e-03 3.998600e-03 3.998600e-03 3.998600e-03 3.998600e-03 3.998600e-03 3.998600e-03 3.998600e-03 3.998600e-03 3.998600e-03 3.998600e-03 3.998600e-03 3.998600e-03 3.998600e-03 3.998600e-03 3.998600e-03 3.998600e-03 3.998600e-03 3.998600e-03 3.998600e-03 3.998600e-03 3.998600e-03 3.998600e-03 3.998600e-03 3.998600e-03 3.998600e-03 3.998600e-03 3.998600e-03 3.998600e-03 3.998600e-03 3.998600e-03
9 4.498200e-03 4.498200e-03 4.498200e-03 4.498200e-03 4.498200e-03 4.498200e-03 4.498200e-03 4.498200e-03 4.498200e-03 4.498200e-03 4.498200e-03 4.498200e-03 4.498200e-03 4.498200e-03 4.498200e-03 4.498200e-03 4.498200e-03 4.498200e-03 4.498200e-03 4.498200e-03 4.498200e-03 4.498200e-03 4.498200e-03 4.498200e-03 4.498200e-03 4.498200e-03 4.498200e-03 4.498200e-03 4.498200e-03 4.498200e-03 4.498200e-03 4.498200e-03 4.498200e-03 4.498200e-03 4.498200e-03 4.498200e-03 4.498200e-03 4.498200e-03 4.498200e-03 4.498200e-03 4.498200e-03 4.498200e-03 4.498202e-03 4.498279e-03 4.500881e-03 4.557477e-03 5.375532e-03 1.321389e-02 6.090567e-02 2.243756e-01 4.317187e-01 2.243756e-01 6.090567e-02 1.321389e-02 5.375532e-03 4.557477e-03 4.500881e-03 4.498279e-03 4.498202e-03 4.498200e-03 4.498200e-03 4.498200e-03 4.498200e-03 4.498200e-03 4.498200e-03 4.498200e-03 4.498200e-03 4.498200e-03 4.498200e-03 4.498200e-03 4.498200e-03 4.498200e-03 4.498200e-03 4.498200e-03 4.498200e-03 4.498200e-03 4.498200e-03 4.498200e-03 4.498200e-03 4.498200e-03 4.498200e-03 4.498200e-03 4.498200e-03 4.498200e-03 4.498200e-03 4.498200e-03 4.498200e-03 4.498200e-03 4.498200e-03 4.498200e-03 4.498200e-03 4.498200e-03 4.498200e-03 4.498200e-03 4.498200e-03 4.498200e-03 4.498200e-03 4.498200e-03 4.498200e-03 4.498200e-03
