Time_Step,energy,avg_amp,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,Node_14,Node_15,Node_16,Node_17,Node_18,Node_19,Node_20,Node_21,Node_22,Node_23,Node_24,Node_25,Node_26,Node_27,Node_28,Node_29,Node_30,Node_31,Node_32,Node_33,Node_34,Node_35,Node_36,Node_37,Node_38,Node_39,Node_40,Node_41,Node_42,Node_43,Node_44,Node_45,Node_46,Node_47,Node_48,Node_49,Node_50,Node_51,Node_52,Node_53,Node_54,Node_55,Node_56,Node_57,Node_58,Node_59,Node_60,Node_61,Node_62,Node_63,Node_64,Node_65,Node_66,Node_67,Node_68,Node_69,Node_70,Node_71,Node_72,Node_73,Node_74,Node_75,Node_76,Node_77,Node_78,Node_79,Node_80,Node_81,Node_82,Node_83,Node_84,Node_85,Node_86,Node_87,Node_88,Node_89,Node_90,Node_91,Node_92,Node_93,Node_94,Node_95,Node_96,Node_97,Node_98,Node_99
0,1.000000e+00,1.000000e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1,7.807323e-01,9.983966e-03,-2.336334e-06,3.178384e-04,1.121119e-04,2.713599e-04,3.606698e-04,-3.493630e-04,-3.014812e-04,3.151629e-04,-3.411846e-04,-3.838622e-04,-4.870925e-04,-1.316656e-05,-1.689846e-04,3.026396e-04,-4.017481e-04,-4.440066e-04,-5.733734e-05,-4.778561e-04,-2.092715e-04,-2.536056e-04,2.382868e-04,3.892261e-04,4.871393e-04,-3.825566e-04,-1.062176e-04,-4.727019e-05,3.814783e-05,2.906221e-04,-3.416366e-05,-6.466775e-05,6.947866e-05,4.692590e-04,-4.594438e-04,4.811957e-05,-3.742340e-05,-1.235278e-04,-1.720879e-04,3.135289e-04,1.465523e-04,-4.525735e-04,4.949576e-04,1.892356e-04,4.295459e-04,4.181166e-04,4.753017e-04,-1.029980e-04,-2.373739e-04,-6.984864e-05,2.645308e-04,6.009973e-02,8.794809e-01,6.020454e-02,-3.359867e-04,-4.676507e-04,-1.718496e-04,-2.614000e-05,-4.319153e-04,-1.172893e-04,-3.814459e-04,3.963285e-04,2.643085e-04,-1.245951e-04,-4.741858e-04,4.065309e-04,2.864178e-04,1.193152e-04,-2.884111e-04,-2.076960e-04,1.615447e-04,3.862610e-04,1.711765e-04,-1.703192e-04,-2.926382e-04,-4.883679e-04,-4.284566e-04,2.300559e-04,4.798396e-04,1.900162e-04,4.905748e-04,1.905343e-04,4.481232e-04,8.364464e-05,3.155326e-05,-3.313427e-04,-3.411923e-04,4.379653e-04,2.182646e-04,-2.345735e-05,3.836534e-04,-9.579768e-05,-3.285320e-04,-3.681680e-04,-8.809184e-05,-4.751440e-04,6.356079e-05,2.818779e-04,-2.329400e-04,-2.857450e-04,-3.224430e-04,-7.073432e-05
2,6.318862e-01,9.967934e-03,1.453805e-05,6.040910e-04,2.461111e-04,5.384964e-04,6.733429e-04,-6.532163e-04,-5.688066e-04,5.539148e-04,-6.455150e-04,-7.713191e-04,-9.395069e-04,-6.411643e-05,-3.003057e-04,5.346882e-04,-7.637282e-04,-8.622330e-04,-1.631002e-04,-9.143182e-04,-4.372971e-04,-4.750122e-04,4.560925e-04,7.752318e-04,9.161733e-04,-6.963129e-04,-2.254682e-04,-9.294742e-05,8.631522e-05,5.465795e-04,-5.066700e-05,-1.194500e-04,1.548884e-04,8.587621e-04,-8.326658e-04,6.064795e-05,-7.487674e-05,-2.447905e-04,-3.121080e-04,5.878709e-04,2.671610e-04,-8.123024e-04,9.146705e-04,4.112143e-04,8.439445e-04,8.403082e-04,9.124268e-04,-1.793503e-04,-4.566100e-04,-1.296790e-04,4.099084e-03,1.057662e-01,7.806545e-01,1.059272e-01,2.952592e-03,-9.096066e-04,-3.526876e-04,-8.536648e-05,-8.205633e-04,-2.692938e-04,-7.003377e-04,7.380297e-04,5.131776e-04,-2.468189e-04,-8.745058e-04,7.529714e-04,5.699876e-04,2.241811e-04,-5.474868e-04,-3.980597e-04,3.144017e-04,7.460953e-04,3.347511e-04,-3.274708e-04,-5.896518e-04,-9.613485e-04,-8.209542e-04,4.355651e-04,9.272548e-04,4.154364e-04,9.450647e-04,4.145073e-04,8.588776e-04,1.860242e-04,4.445510e-05,-6.414694e-04,-6.350100e-04,8.159553e-04,4.351860e-04,-7.982404e-06,7.140746e-04,-1.767828e-04,-6.454452e-04,-7.171164e-04,-2.162026e-04,-8.946950e-04,1.078920e-04,5.197395e-04,-4.381360e-04,-5.704951e-04,-6.275493e-04,-1.565641e-04
3,5.284861e-01,9.951903e-03,4.757344e-05,8.650171e-04,3.972203e-04,8.003502e-04,9.462610e-04,-9.178558e-04,-8.079322e-04,7.296933e-04,-9.222175e-04,-1.157647e-03,-1.363891e-03,-1.439714e-04,-4.049893e-04,7.092697e-04,-1.093405e-03,-1.258295e-03,-3.074423e-04,-1.318389e-03,-6.774090e-04,-6.704410e-04,6.576158e-04,1.153689e-03,1.298015e-03,-9.538000e-04,-3.519627e-04,-1.374038e-04,1.413145e-04,7.736963e-04,-5.311777e-05,-1.635185e-04,2.501237e-04,1.184217e-03,-1.136942e-03,4.703115e-05,-1.143560e-04,-3.621380e-04,-4.261269e-04,8.280997e-04,3.681614e-04,-1.096408e-03,1.275711e-03,6.565800e-04,1.247224e-03,1.262886e-03,1.317804e-03,-2.334594e-04,-6.576868e-04,3.459523e-05,1.020951e-02,1.402486e-01,6.991804e-01,1.404263e-01,8.563056e-03,-1.112019e-03,-5.418778e-04,-1.716490e-04,-1.175209e-03,-4.454950e-04,-9.695489e-04,1.034491e-03,7.453262e-04,-3.634507e-04,-1.213294e-03,1.050799e-03,8.465790e-04,3.179222e-04,-7.805774e-04,-5.719338e-04,4.590689e-04,1.081699e-03,4.908415e-04,-4.737548e-04,-8.888020e-04,-1.418895e-03,-1.182361e-03,6.196877e-04,1.346791e-03,6.678978e-04,1.371934e-03,6.634959e-04,1.239881e-03,3.015273e-04,4.334259e-05,-9.312049e-04,-8.894684e-04,1.143935e-03,6.496631e-04,3.847457e-05,1.000882e-03,-2.472311e-04,-9.500931e-04,-1.050858e-03,-3.750372e-04,-1.268885e-03,1.359976e-04,7.193821e-04,-6.215012e-04,-8.516648e-04,-9.182471e-04,-2.555419e-04
4,4.548299e-01,9.935874e-03,9.427897e-05,1.105655e-03,5.615480e-04,1.056197e-03,1.186235e-03,-1.148685e-03,-1.023671e-03,8.534111e-04,-1.178321e-03,-1.539642e-03,-1.765277e-03,-2.459797e-04,-4.914167e-04,8.368223e-04,-1.396777e-03,-1.635231e-03,-4.824569e-04,-1.696997e-03,-9.246534e-04,-8.447142e-04,8.459177e-04,1.521695e-03,1.641256e-03,-1.165042e-03,-4.813819e-04,-1.808107e-04,2.006680e-04,9.766893e-04,-4.429132e-05,-1.967273e-04,3.508044e-04,1.458043e-03,-1.385964e-03,1.442441e-05,-1.569517e-04,-4.746020e-04,-5.190793e-04,1.038696e-03,4.543990e-04,-1.318671e-03,1.591066e-03,9.183365e-04,1.642146e-03,1.683232e-03,1.696603e-03,-2.688119e-04,-8.280044e-04,5.337009e-04,1.766487e-02,1.660679e-01,6.316303e-01,1.662303e-01,1.555751e-02,-9.648457e-04,-7.256680e-04,-2.801992e-04,-1.503010e-03,-6.379658e-04,-1.199212e-03,1.293124e-03,9.603835e-04,-4.724734e-04,-1.500523e-03,1.309126e-03,1.113446e-03,4.030151e-04,-9.904818e-04,-7.302311e-04,5.960653e-04,1.395043e-03,6.395445e-04,-6.110537e-04,-1.188254e-03,-1.861123e-03,-1.516769e-03,7.851849e-04,1.742136e-03,9.408230e-04,1.777623e-03,9.310533e-04,1.596996e-03,4.259519e-04,3.190975e-05,-1.201477e-03,-1.111072e-03,1.430125e-03,8.608477e-04,1.094291e-04,1.251804e-03,-3.102890e-04,-1.242404e-03,-1.372325e-03,-5.572716e-04,-1.605978e-03,1.502549e-04,8.857320e-04,-7.877359e-04,-1.127510e-03,-1.196841e-03,-3.660129e-04
5,4.009525e-01,9.919847e-03,1.526157e-04,1.330054e-03,7.359291e-04,1.305575e-03,1.398888e-03,-1.350337e-03,-1.219925e-03,9.339599e-04,-1.419163e-03,-1.915209e-03,-2.147497e-03,-3.650058e-04,-5.659316e-04,9.256679e-04,-1.678677e-03,-1.995601e-03,-6.817848e-04,-2.055471e-03,-1.175377e-03,-1.001594e-03,1.023229e-03,1.877396e-03,1.952680e-03,-1.338085e-03,-6.105367e-04,-2.232083e-04,2.624684e-04,1.159394e-03,-2.633787e-05,-2.193773e-04,4.538304e-04,1.690081e-03,-1.590606e-03,-3.176333e-05,-2.031358e-04,-5.816919e-04,-5.949801e-04,1.223597e-03,5.295795e-04,-1.490144e-03,1.870916e-03,1.191273e-03,2.030565e-03,2.099517e-03,2.053008e-03,-2.874097e-04,-9.500416e-04,1.409967e-03,2.580395e-02,1.851806e-01,5.752903e-01,1.853018e-01,2.326899e-02,-4.267082e-04,-8.850676e-04,-4.064079e-04,-1.809504e-03,-8.407687e-04,-1.397323e-03,1.519819e-03,1.158589e-03,-5.727328e-04,-1.744296e-03,1.535207e-03,1.368867e-03,4.813061e-04,-1.179569e-03,-8.738913e-04,7.259113e-04,1.687896e-03,7.809510e-04,-7.409079e-04,-1.486514e-03,-2.288272e-03,-1.827618e-03,9.344621e-04,2.116306e-03,1.229032e-03,2.167018e-03,1.212245e-03,1.934741e-03,5.561741e-04,1.309912e-05,-1.453272e-03,-1.305105e-03,1.681319e-03,1.068098e-03,1.995884e-04,1.473064e-03,-3.682570e-04,-1.522680e-03,-1.683658e-03,-7.571333e-04,-1.912665e-03,1.525553e-04,1.022985e-03,-9.405756e-04,-1.396915e-03,-1.465155e-03,-4.865603e-04
6,3.604620e-01,9.903821e-03,2.209104e-04,1.541465e-03,9.177936e-04,1.548224e-03,1.588866e-03,-1.526787e-03,-1.399876e-03,9.786089e-04,-1.648781e-03,-2.283055e-03,-2.513488e-03,-4.971408e-04,-6.333081e-04,9.824583e-04,-1.943011e-03,-2.341563e-03,-9.003041e-04,-2.397894e-03,-1.426909e-03,-1.144037e-03,1.191174e-03,2.219701e-03,2.237661e-03,-1.479409e-03,-7.371065e-04,-2.645553e-04,3.252649e-04,1.324940e-03,-9.373691e-07,-2.320483e-04,5.570462e-04,1.888155e-03,-1.759519e-03,-8.745347e-05,-2.529699e-04,-6.832454e-04,-6.570967e-04,1.386248e-03,5.965365e-04,-1.619722e-03,2.123245e-03,1.471525e-03,2.413687e-03,2.510496e-03,2.390470e-03,-2.897119e-04,-1.005962e-03,2.662015e-03,3.416486e-02,1.991058e-01,5.280079e-01,1.991652e-01,3.123090e-02,4.999241e-04,-1.000608e-03,-5.454126e-04,-2.098928e-03,-1.049491e-03,-1.570207e-03,1.719293e-03,1.340576e-03,-6.636851e-04,-1.951244e-03,1.734834e-03,1.611875e-03,5.541743e-04,-1.349869e-03,-1.003852e-03,8.491143e-04,1.961852e-03,9.151546e-04,-8.645778e-04,-1.782372e-03,-2.700666e-03,-2.117806e-03,1.069610e-03,2.471787e-03,1.528441e-03,2.543811e-03,1.503294e-03,2.256607e-03,6.898926e-04,-1.074672e-05,-1.687597e-03,-1.475872e-03,1.903138e-03,1.270938e-03,3.046302e-04,1.669682e-03,-4.228040e-04,-1.791453e-03,-1.986407e-03,-9.700728e-04,-2.194373e-03,1.444134e-04,1.134721e-03,-1.082988e-03,-1.659235e-03,-1.724641e-03,-6.159617e-04
7,3.292087e-01,9.887797e-03,2.977853e-04,1.742496e-03,1.105060e-03,1.784042e-03,1.759999e-03,-1.681443e-03,-1.566123e-03,9.933214e-04,-1.870214e-03,-2.642458e-03,-2.865522e-03,-6.394085e-04,-6.971133e-04,1.012525e-03,-2.192950e-03,-2.674947e-03,-1.133882e-03,-2.727396e-03,-1.677325e-03,-1.274388e-03,1.350940e-03,2.548071e-03,2.500475e-03,-1.594255e-03,-8.594355e-04,-3.047629e-04,3.879715e-04,1.475897e-03,3.058508e-05,-2.354805e-04,6.589900e-04,2.058498e-03,-1.899602e-03,-1.495801e-04,-3.062536e-04,-7.793194e-04,-7.080871e-04,1.529655e-03,6.574364e-04,-1.714580e-03,2.354309e-03,1.756247e-03,2.792270e-03,2.915351e-03,2.711923e-03,-2.748451e-04,-9.801818e-04,4.261992e-03,4.243226e-02,2.090233e-01,4.880713e-01,2.090043e-01,3.912399e-02,1.786050e-03,-1.055014e-03,-6.920207e-04,-2.374456e-03,-1.260885e-03,-1.722883e-03,1.895356e-03,1.507218e-03,-7.452116e-04,-2.126816e-03,1.912649e-03,1.842047e-03,6.226536e-04,-1.503141e-03,-1.121031e-03,9.661603e-04,2.218351e-03,1.042257e-03,-9.830943e-04,-2.074862e-03,-3.098695e-03,-2.389777e-03,1.192445e-03,2.810648e-03,1.835827e-03,2.910778e-03,1.801308e-03,2.565303e-03,8.254328e-04,-3.776506e-05,-1.905457e-03,-1.626879e-03,2.100240e-03,1.469029e-03,4.210240e-04,1.845716e-03,-4.751292e-04,-2.049384e-03,-2.281699e-03,-1.192506e-03,-2.455512e-03,1.270511e-04,1.224004e-03,-1.217332e-03,-1.914163e-03,-1.976466e-03,-7.531551e-04
8,3.044624e-01,9.871774e-03,3.821018e-04,1.935231e-03,1.296046e-03,2.013042e-03,1.915449e-03,-1.817232e-03,-1.720800e-03,9.830063e-04,-2.085734e-03,-2.993105e-03,-3.205378e-03,-7.895403e-04,-7.599875e-04,1.020157e-03,-2.431070e-03,-2.997302e-03,-1.379181e-03,-3.046364e-03,-1.925257e-03,-1.394522e-03,1.503400e-03,2.862359e-03,2.744536e-03,-1.686879e-03,-9.763760e-04,-3.437189e-04,4.497920e-04,1.614377e-03,6.717313e-05,-2.304926e-04,7.587050e-04,2.206095e-03,-2.016369e-03,-2.158473e-04,-3.626299e-04,-8.701114e-04,-7.501137e-04,1.656433e-03,7.139351e-04,-1.780528e-03,2.569014e-03,2.043352e-03,3.166761e-03,3.313586e-03,3.019953e-03,-2.409298e-04,-8.606070e-04,6.167403e-03,5.039779e-02,2.158495e-01,4.541166e-01,2.157392e-01,4.673664e-02,3.388034e-03,-1.034514e-03,-8.408172e-04,-2.638374e-03,-1.472582e-03,-1.859343e-03,2.051113e-03,1.659518e-03,-8.174827e-04,-2.275525e-03,2.072384e-03,2.059353e-03,6.875225e-04,-1.640928e-03,-1.226310e-03,1.077508e-03,2.458693e-03,1.162374e-03,-1.097300e-03,-2.363217e-03,-3.482788e-03,-2.645597e-03,1.304540e-03,3.134625e-03,2.148646e-03,3.269996e-03,2.104070e-03,2.862937e-03,9.615952e-04,-6.647765e-05,-2.107833e-03,-1.760996e-03,2.276496e-03,1.662139e-03,5.458864e-04,2.004453e-03,-5.260839e-04,-2.297195e-03,-2.570348e-03,-1.421610e-03,-2.699676e-03,1.014626e-04,1.293462e-03,-1.345480e-03,-2.161645e-03,-2.221575e-03,-8.972128e-04
9,2.843998e-01,9.855753e-03,4.729150e-04,2.121337e-03,1.489399e-03,2.235325e-03,2.057822e-03,-1.936667e-03,-1.865667e-03,9.517181e-04,-2.297028e-03,-3.334962e-03,-3.534463e-03,-9.458049e-04,-8.238606e-04,1.008812e-03,-2.659475e-03,-3.309948e-03,-1.633499e-03,-3.356618e-03,-2.169758e-03,-1.505957e-03,1.649199e-03,3.162692e-03,2.972585e-03,-1.760752e-03,-1.087167e-03,-3.813035e-04,5.101593e-04,1.742130e-03,1.079751e-04,-2.179255e-04,8.555993e-04,2.334942e-03,-2.114232e-03,-2.845444e-04,-4.216589e-04,-9.559034e-04,-7.849336e-04,1.768854e-03,7.672981e-04,-1.822283e-03,2.771202e-03,2.331327e-03,3.537395e-03,3.704943e-03,3.316918e-03,-1.854314e-04,-6.390336e-04,8.329080e-03,5.793056e-02,2.202966e-01,4.250534e-01,2.200846e-01,5.393521e-02,5.255608e-03,-9.292858e-04,-9.863483e-04,-2.892224e-03,-1.682877e-03,-1.982770e-03,2.189113e-03,1.798536e-03,-8.808585e-04,-2.401126e-03,2.217052e-03,2.264037e-03,7.493718e-04,-1.764591e-03,-1.320531e-03,1.183587e-03,2.684058e-03,1.275633e-03,-1.207884e-03,-2.646838e-03,-3.853402e-03,-2.887012e-03,1.407263e-03,3.445187e-03,2.464887e-03,3.623008e-03,2.409882e-03,3.151162e-03,1.097540e-03,-9.571467e-05,-2.295673e-03,-1.880573e-03,2.435122e-03,1.850124e-03,6.768636e-04,2.148560e-03,-5.762635e-04,-2.535620e-03,-2.852946e-03,-1.655168e-03,-2.929798e-03,6.846488e-05,1.345354e-03,-1.468919e-03,-2.401800e-03,-2.460738e-03,-1.047319e-03
